Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-12-19,3674.4,3922.0,3643.1,3696.6,151.42435959,568148.51856757,3752.0285382477
2018-12-18,3506.34,3680.81,3439.45,3661.74,119.52054678,422815.0550626,3537.5930453269
2018-12-17,3199.7,3567.4,3195.7,3504.9,285.50017589,973944.30593884,3411.3614918195
2018-12-16,3190.2,3262.11,3182.0,3196.28,76.77095716,247498.13117174,3223.8510541939
2018-12-15,3198.18,3231.04,3136.7,3194.5,55.53774179,176865.56337205,3184.6012760262
2018-12-14,3269.17,3288.9,3148.42,3197.8,188.23633776,605655.86213545,3217.5289284881
2018-12-13,3437.8,3439.9,3229.06,3271.1,146.76268794,494433.66705728,3368.9330305767
2018-12-12,3344.1,3483.98,3337.5,3440.0,102.59598554,350304.56528482,3414.4081119845
2018-12-11,3420.5,3420.63,3305.5,3350.0,103.50971986,348552.36313049,3367.3394498789
2018-12-10,3547.21,3597.2,3412.9,3424.52,46.36705466,161499.93785795,3483.0751929834
2018-12-09,3404.3,3637.6,3386.6,3546.31,140.86011586,493327.25363286,3502.2493813875
2018-12-08,3380.9,3481.3,3261.2,3396.23,160.84811202,543185.44039014,3377.0084930969
2018-12-07,3438.5,3569.97,3223.7,3375.9,423.22062931,1425230.4415477,3367.5826338413
2018-12-06,3701.4,3836.9,3453.7,3453.7,321.96178546,1172473.3554483,3641.6537874927
2018-12-05,3911.1,3915.4,3656.9,3701.4,111.60716409,420558.33141686,3768.2019326082
2018-12-04,3844.1,4038.5,3779.2,3911.31,160.33702581,625926.41178418,3903.8170292987
2018-12-03,4115.11,4115.11,3797.4,3840.1,103.00315363,404809.22176166,3930.0662891913
2018-12-02,4155.1,4265.5,4075.9,4102.8,67.26507267,279049.70270435,4148.5081577679
2018-12-01,3981.7,4264.4,3931.0,4156.0,134.4622536,550866.78736012,4096.8135860555
2018-11-30,4263.2,4299.1,3874.4,3983.8,179.80763534,719096.99006119,3999.2572545734
2018-11-29,4234.34,4391.1,4101.78,4229.6,213.44882969,901745.69919133,4224.645787475
2018-11-28,3783.4,4363.0,3783.4,4227.68,385.2723333,1560377.43112,4050.0635427278
2018-11-27,3739.6,3831.0,3633.4,3782.57,248.79436721,925707.99512447,3720.7755364618
2018-11-26,3951.3,4089.5,3558.0,3735.9,408.39970622,1533940.4513052,3755.9783416662
